likes,username,text_html,timestamp,tweet_url,retweets,is_reply_to,video_url,is_replied,timestamp_epochs,tweet_id,replies,user_id,text,screen_name,has_media,parent_tweet_id,hashtags/0,hashtags/1,hashtags/2,reply_to_users/0/screen_name,reply_to_users/0/user_id,links/0,hashtags/3,hashtags/4,hashtags/5,hashtags/6,reply_to_users/1/screen_name,reply_to_users/1/user_id,img_urls/0,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,reply_to_users/2/screen_name,reply_to_users/2/user_id,hashtags/13,img_urls/1,img_urls/2,links/1,hashtags/14
0,×,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">Team Unist(ゆにすと)

✩メンバー募集

※このチームは混合、on2などを主に活動するTeamです。

※LINEでのグループ招待、<strong>Skype</strong>やLINEでの通話ができる方のみ

※マウス、猛者大歓迎です

DMで参加の方を受け付けております。

plzk (定期)</p>",2018-10-11T23:59:11,/dptgdptgdptpdpw/status/1050536322534920195,0,false,,false,1539302351,1050536322534920195,0,897618172102156288,"Team Unist(ゆにすと)

✩メンバー募集

※このチームは混合、on2などを主に活動するTeamです。

※LINEでのグループ招待、SkypeやLINEでの通話ができる方のみ

※マウス、猛者大歓迎です

DMで参加の方を受け付けております。

plzk (定期)",dptgdptgdptpdpw,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,yumichan_1224,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ち◯こ　<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GTA5?src=hash""><s>#</s><b>GTA5</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GTA?src=hash""><s>#</s><b>GTA</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Skype?src=hash""><s>#</s><b><strong>Skype</strong></b></a></p>",2018-10-11T23:58:53,/yumichan_1224/status/1050536243094671361,0,false,,false,1539302333,1050536243094671361,0,3481548200,ち◯こ　#GTA5 #GTA #Skype,yumichan_1224,false,,GTA5,GTA,Skype,,,,,,,,,,,,,,,,,,,,,,,
0,Natalie Osborne,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Oh mate. I hear ya. Hit me up on <strong>Skype</strong> or something if you want to talk? Wish we didn't have this ocean in our way.</p>",2018-10-11T23:58:18,/DrNatOsborne/status/1050536098953277441,0,true,,false,1539302298,1050536098953277441,0,2247969289,Oh mate. I hear ya. Hit me up on Skype or something if you want to talk? Wish we didn't have this ocean in our way.,DrNatOsborne,false,1050514398446403584,,,,flusterbird,2616677238,,,,,,,,,,,,,,,,,,,,,
0,ロミォ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>skype</strong>*micky-mouse04</p>",2018-10-11T23:58:07,/SPchococo/status/1050536051603734529,0,false,,false,1539302287,1050536051603734529,0,719326915,skype*micky-mouse04,SPchococo,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SayScape🦅 #Veteran Owned Social Media,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">You are required to have a federal tax ID in order to file with the state. In order to obtain that you need to file with the federal IRS first. Yes we are, I am more than happy to <strong>skype</strong>, phone call, whatever anyone cares to do. We are 100% legitimate and want to see this though</p>",2018-10-11T23:56:33,/SayScape/status/1050535657838452737,0,true,,true,1539302193,1050535657838452737,1,1044341249443082240,"You are required to have a federal tax ID in order to file with the state. In order to obtain that you need to file with the federal IRS first. Yes we are, I am more than happy to skype, phone call, whatever anyone cares to do. We are 100% legitimate and want to see this though",SayScape,false,1050531553879584768,,,,_Montana_Bound_,848928610639544320,,,,,,,,,,,,,,,,,,,,,
1,Bonne Finken,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">THANK YOU <img alt=""💕"" aria-label=""Emoji: Two hearts"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f495.png"" title=""Two hearts""/> to the fabulous pfaffit and to jonlocker and, of course, to sepanigram .  
Oh, and to <strong>skype</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/skype?src=hash""><s>#</s><b><strong>skype</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/skypesession?src=hash""><s>#</s><b>skypesession</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/indiemusic?src=hash""><s>#</s><b>indiemusic</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/indieartist?src=hash""><s>#</s><b>indieartist</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/newrock?src=hash""><s>#</s><b>newrock</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vibraphone?src=hash""><s>#</s><b>vibraphone</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/originalmusic?src=hash""><s>#</s><b>originalmusic</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/Boz98VMFFTD/?utm_source=ig_twitter_share&amp;igshid=186qouixip12s"" dir=""ltr"" href=""https://t.co/2Jyj1wTE1S"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/Boz98VMFFTD/?utm_source=ig_twitter_share&amp;igshid=186qouixip12s""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/Boz98VMFFTD/</span><span class=""invisible"">?utm_source=ig_twitter_share&amp;igshid=186qouixip12s</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2018-10-11T23:56:14,/bonnefinken/status/1050535579648176128,0,false,,false,1539302174,1050535579648176128,0,18011449,"THANK YOU  to the fabulous pfaffit and to jonlocker and, of course, to sepanigram .  
Oh, and to skype #skype #skypesession #indiemusic #indieartist #newrock #vibraphone #originalmusic https://www.instagram.com/p/Boz98VMFFTD/?utm_source=ig_twitter_share&igshid=186qouixip12s …",bonnefinken,false,,skype,skypesession,indiemusic,,,https://www.instagram.com/p/Boz98VMFFTD/?utm_source=ig_twitter_share&igshid=186qouixip12s,indieartist,newrock,vibraphone,originalmusic,,,,,,,,,,,,,,,,
1,やこ@Titan,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">実際のとこ<strong>Skype</strong>交換求められたのでフレ登録で難を逃れた隊長なのでもう昨日のシコッテは捨てですわ……
もうちょい観察したいから新規作らなきゃ<img alt=""😘"" aria-label=""Emoji: Face throwing a kiss"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f618.png"" title=""Face throwing a kiss""/>
ちなみにヘルメットララチャンは昨日撮ったておいたわよ！！</p>",2018-10-11T23:56:09,/enaff0330/status/1050535556298334209,0,true,,true,1539302169,1050535556298334209,1,840163976734433281,"実際のとこSkype交換求められたのでフレ登録で難を逃れた隊長なのでもう昨日のシコッテは捨てですわ……
もうちょい観察したいから新規作らなきゃ
ちなみにヘルメットララチャンは昨日撮ったておいたわよ！！",enaff0330,false,1050335527176531968,,,,MRD_RIP_ridill,949866450042236929,,,,,,freesia_1965,71010057,,,,,,,,,,,,,,
0,Morne van Wyk,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-timeline-link"" data-expanded-url=""https://www.talktomemen.com/bisexual/passionatetalker/"" dir=""ltr"" href=""https://t.co/mFDAmhZqET"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.talktomemen.com/bisexual/passionatetalker/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">talktomemen.com/bisexual/passi</span><span class=""invisible"">onatetalker/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> im doing call sex,10 usd free when you sighn up, im avaidble to take ur call or <strong>skype</strong> so what you waiting for please retweet for me for support dont forget to follow</p>",2018-10-11T23:56:07,/MornevanWyk9/status/1050535550015430656,0,false,,false,1539302167,1050535550015430656,0,1040391936455188480,"https://www.talktomemen.com/bisexual/passionatetalker/ … im doing call sex,10 usd free when you sighn up, im avaidble to take ur call or skype so what you waiting for please retweet for me for support dont forget to follow",MornevanWyk9,false,,,,,,,https://www.talktomemen.com/bisexual/passionatetalker/,,,,,,,,,,,,,,,,,,,,
0,組織ストーカー電磁波犯罪被害の会,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">組織ストーカー電磁波犯罪被害の会 遠方にお住まいの会員の方で、<strong>Skype</strong>環境のある方は<strong>Skype</strong>での定例会・戦略技術会議への参加も可能となりました。 [2018/10/12 08:56:00]</p>",2018-10-11T23:56:00,/sdhjapan/status/1050535518595833856,0,false,,false,1539302160,1050535518595833856,0,886945279,組織ストーカー電磁波犯罪被害の会 遠方にお住まいの会員の方で、Skype環境のある方はSkypeでの定例会・戦略技術会議への参加も可能となりました。 [2018/10/12 08:56:00],sdhjapan,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Steve Wrigley,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wanna get in on a <strong>skype</strong> call I do each year with past winners where we pick apart all the current years nominees short comings?</p>",2018-10-11T23:55:53,/wrigglemania/status/1050535488103305217,0,true,,false,1539302153,1050535488103305217,0,342155477,Wanna get in on a skype call I do each year with past winners where we pick apart all the current years nominees short comings?,wrigglemania,false,1050534674592743426,,,,HungryPeachBoy,43443890,,,,,,donnabrookbanks,1110926226,,,,,,,,,,,,,,
