text,replies,parent_tweet_id,has_media,tweet_id,timestamp_epochs,reply_to_users/0/user_id,reply_to_users/0/screen_name,reply_to_users/1/user_id,reply_to_users/1/screen_name,video_url,likes,retweets,is_replied,user_id,screen_name,text_html,is_reply_to,tweet_url,timestamp,username,links/0,img_urls/0,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,reply_to_users/2/user_id,reply_to_users/2/screen_name,links/1,hashtags/20,links/2,links/3,img_urls/1,img_urls/2
They have a great course on hacking APIs ,0,1249117570575347719,false,1249124992069120000,1586649580,1107966445588279296,varcharr,70266297,udemy,,1,0,false,594836462,alissaknight,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">They have a great course on hacking APIs <img alt=""😏"" aria-label=""Emoji: Smirking face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60f.png"" title=""Smirking face""/></p>",true,/alissaknight/status/1249124992069120000,2020-04-11T23:59:40,Alissa Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Udemy, skill share, edx",0,1249124166026039296,false,1249124901128146944,1586649558,2736105866,DaphneLakecha,,,,1,0,false,501322889,PaheenaXOXO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Udemy</strong>, skill share, edx</p>",true,/PaheenaXOXO/status/1249124901128146944,2020-04-11T23:59:18,diffrenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"今日の予定
・udemy vue講座 セクション5,6,7,8
・ウォーキング、ヨガ
・溜まった家事消化
・サブディスプレイの吟味

絶対転職するためにやるときはやる！絶対やる！",0,,false,1249124191506518016,1586649389,,,,,,0,0,false,1204377292618600449,89J2aGp0rJod6Dn,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">今日の予定
・<strong>udemy</strong> vue講座 セクション5,6,7,8
・ウォーキング、ヨガ
・溜まった家事消化
・サブディスプレイの吟味

絶対転職するためにやるときはやる！絶対やる！</p>",false,/89J2aGp0rJod6Dn/status/1249124191506518016,2020-04-11T23:56:29,ぴえろぎ@駆け出しエンジニア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Get 100% Off Coupons to Enroll for Udemy courses for free.
https://idropcoupons.com ",0,,false,1249123502709489664,1586649225,,,,,,0,0,false,1192055822811107328,udemy100coupons,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Get 100% Off Coupons to Enroll for <strong>Udemy</strong> courses for free.
<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://idropcoupons.com"" dir=""ltr"" href=""https://t.co/OpKMKgox4E"" rel=""nofollow noopener"" target=""_blank"" title=""https://idropcoupons.com""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">idropcoupons.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",false,/udemy100coupons/status/1249123502709489664,2020-04-11T23:53:45,Udemy 100% Coupons,https://idropcoupons.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
os cursos da udemy estao baratinhossss,0,,false,1249121566719344640,1586648763,,,,,,0,0,false,3077562913,luanswolf,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">os cursos da <strong>udemy</strong> estao baratinhossss</p>",false,/luanswolf/status/1249121566719344640,2020-04-11T23:46:03,grazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IELTS – Prepare for IELTS Speaking by Former IELTS Examiners [95% OFF UDEMY FREE Coupon] https://otexto.net/ielts-prepare-for-ielts-speaking-by-former-ielts-examiners-udemy-coupon/ …,0,,false,1249121198908354560,1586648676,,,,,,0,0,false,3956081113,ContentAnalyst_,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">IELTS – Prepare for IELTS Speaking by Former IELTS Examiners [95% OFF <strong>UDEMY</strong> FREE Coupon] <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://otexto.net/ielts-prepare-for-ielts-speaking-by-former-ielts-examiners-udemy-coupon/"" dir=""ltr"" href=""https://t.co/mgOW6sGAHg"" rel=""nofollow noopener"" target=""_blank"" title=""https://otexto.net/ielts-prepare-for-ielts-speaking-by-former-ielts-examiners-udemy-coupon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">otexto.net/ielts-prepare-</span><span class=""invisible"">for-ielts-speaking-by-former-ielts-examiners-udemy-coupon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",false,/ContentAnalyst_/status/1249121198908354560,2020-04-11T23:44:36,Bringing You The Best Products To Buy Online!,https://otexto.net/ielts-prepare-for-ielts-speaking-by-former-ielts-examiners-udemy-coupon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dare to Lead: How to Become a Next Generation Leader [95% OFF UDEMY FREE Coupon] https://otexto.net/dare-to-lead-how-to-become-a-next-generation-leader-udemy-coupon/ …,0,,false,1249121197499068418,1586648675,,,,,,0,0,false,3956081113,ContentAnalyst_,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dare to Lead: How to Become a Next Generation Leader [95% OFF <strong>UDEMY</strong> FREE Coupon] <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://otexto.net/dare-to-lead-how-to-become-a-next-generation-leader-udemy-coupon/"" dir=""ltr"" href=""https://t.co/zeyE7xC6rd"" rel=""nofollow noopener"" target=""_blank"" title=""https://otexto.net/dare-to-lead-how-to-become-a-next-generation-leader-udemy-coupon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">otexto.net/dare-to-lead-h</span><span class=""invisible"">ow-to-become-a-next-generation-leader-udemy-coupon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",false,/ContentAnalyst_/status/1249121197499068418,2020-04-11T23:44:35,Bringing You The Best Products To Buy Online!,https://otexto.net/dare-to-lead-how-to-become-a-next-generation-leader-udemy-coupon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portrait Photography and Posing For Photographers [95% OFF UDEMY FREE Coupon] https://otexto.net/portrait-photography-and-posing-for-photographers-udemy-coupon/ …,0,,false,1249121196404281345,1586648675,,,,,,0,0,false,3956081113,ContentAnalyst_,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Portrait Photography and Posing For Photographers [95% OFF <strong>UDEMY</strong> FREE Coupon] <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://otexto.net/portrait-photography-and-posing-for-photographers-udemy-coupon/"" dir=""ltr"" href=""https://t.co/cBA8Dii9TG"" rel=""nofollow noopener"" target=""_blank"" title=""https://otexto.net/portrait-photography-and-posing-for-photographers-udemy-coupon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">otexto.net/portrait-photo</span><span class=""invisible"">graphy-and-posing-for-photographers-udemy-coupon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",false,/ContentAnalyst_/status/1249121196404281345,2020-04-11T23:44:35,Bringing You The Best Products To Buy Online!,https://otexto.net/portrait-photography-and-posing-for-photographers-udemy-coupon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Media Marketing & Digital Marketing Course 2019 [95% OFF UDEMY FREE Coupon] https://otexto.net/social-media-marketing-digital-marketing-course-2019-udemy-coupon/ …,0,,false,1249121195443830784,1586648675,,,,,,1,0,false,3956081113,ContentAnalyst_,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Social Media Marketing &amp; Digital Marketing Course 2019 [95% OFF <strong>UDEMY</strong> FREE Coupon] <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://otexto.net/social-media-marketing-digital-marketing-course-2019-udemy-coupon/"" dir=""ltr"" href=""https://t.co/0sQAKMrCPh"" rel=""nofollow noopener"" target=""_blank"" title=""https://otexto.net/social-media-marketing-digital-marketing-course-2019-udemy-coupon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">otexto.net/social-media-m</span><span class=""invisible"">arketing-digital-marketing-course-2019-udemy-coupon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",false,/ContentAnalyst_/status/1249121195443830784,2020-04-11T23:44:35,Bringing You The Best Products To Buy Online!,https://otexto.net/social-media-marketing-digital-marketing-course-2019-udemy-coupon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hey @udemy! I already was logged in but the price changed on my cart!!! It is so frustrating. I feel so cheated... Stop messing with the price! pic.twitter.com/YRom1nVJpe,0,,true,1249121095371931648,1586648651,,,,,,2,0,false,349737491,algumaanna,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">hey <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""70266297"" dir=""ltr"" href=""/udemy""><s>@</s><b><strong>udemy</strong></b></a>! I already was logged in but the price changed on my cart!!! It is so frustrating. I feel so cheated... Stop messing with the price! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YRom1nVJpe"">pic.twitter.com/YRom1nVJpe</a></p>",false,/algumaanna/status/1249121095371931648,2020-04-11T23:44:11,Anna Munhoz,,https://pbs.twimg.com/media/EVXD7LNXgAEsPPt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"دورات مجانية ستفيدك اذا كنت Web Front End !!انصح بها

اللهم صلي وسلم على سيدنا محمد 

جميع الدورات الاتية مقدمة من شركة udemy
اذا كنت مبتدئ فانصح بالبدء ب HTML ثم CSS ومن ثم الذهاب الى Javascript ومن بعدها الى jQuery

•    Learn Basic jQuery

•    Le… https://ift.tt/2K03jVf pic.twitter.com/wu5Xin6hGp",0,,true,1249121092452614144,1586648650,,,,,,1,0,false,877290479989137408,AbeDo95,"<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">دورات مجانية ستفيدك اذا كنت Web Front End !!انصح بها

اللهم صلي وسلم على سيدنا محمد 

جميع الدورات الاتية مقدمة من شركة <strong>udemy</strong>
اذا كنت مبتدئ فانصح بالبدء ب HTML ثم CSS ومن ثم الذهاب الى Javascript ومن بعدها الى jQuery

•    Learn Basic jQuery

•    Le… <a class=""twitter-timeline-link"" data-expanded-url=""https://ift.tt/2K03jVf"" dir=""ltr"" href=""https://t.co/oCnHlkXSdM"" rel=""nofollow noopener"" target=""_blank"" title=""https://ift.tt/2K03jVf""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">ift.tt/2K03jVf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wu5Xin6hGp"">pic.twitter.com/wu5Xin6hGp</a></p>",false,/AbeDo95/status/1249121092452614144,2020-04-11T23:44:10,AbeDo Ma,https://ift.tt/2K03jVf,https://pbs.twimg.com/media/EVXFA6wWoAE-qxk.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
